t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
5.74775,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
5.78048,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
5.81123,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
5.84748,0.5925,177.138,-0.073,-176.974,-0.0781,0.23416,0.5925,8,0.00414669,4.14669
5.87944,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
5.91751,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
5.94782,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
5.9811,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
6.01504,0.59194,177.455,-0.523,-176.871,-0.07852,0.23423,0.59194,8,0.00470669,4.70669
6.04804,0.59228,177.16,-0.454,-176.892,-0.07849,0.23425,0.59228,8,0.00436669,4.36669
6.08246,0.59165,177.586,-0.517,-177.027,-0.07813,0.23393,0.59165,8,0.00499669,4.99669
6.11749,0.59313,177.166,-0.139,-176.836,-0.07854,0.23435,0.59313,8,0.00351669,3.51669
6.14852,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
6.18459,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
6.21676,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
6.24861,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
6.27935,0.59319,176.793,-0.087,-176.881,-0.0783,0.23427,0.59319,8,0.00345669,3.45669
6.31664,0.59179,177.616,-0.424,-176.908,-0.07845,0.23427,0.59179,8,0.00485669,4.85669
6.34797,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
6.38939,0.59345,176.868,-0.078,-176.858,-0.0785,0.23436,0.59345,8,0.00319669,3.19669
6.41477,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
6.44738,0.5917,177.38,-0.526,-176.893,-0.07832,0.23414,0.5917,8,0.00494669,4.94669
6.48378,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
6.51729,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
6.54801,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
6.58295,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
6.61622,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
6.64714,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
6.68363,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
6.71456,0.59226,177.195,-0.429,-176.836,-0.07845,0.2343,0.59226,8,0.00438669,4.38669
6.74798,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
6.78298,0.59257,176.9,-0.365,-176.858,-0.07841,0.23432,0.59257,8,0.00407669,4.07669
6.81459,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
6.84699,0.5925,177.138,-0.073,-176.974,-0.0781,0.23416,0.5925,8,0.00414669,4.14669
6.88505,0.59319,176.793,-0.087,-176.881,-0.0783,0.23427,0.59319,8,0.00345669,3.45669
6.91655,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
6.95066,0.59265,176.977,-0.178,-176.937,-0.07817,0.23411,0.59265,8,0.00399669,3.99669
6.98341,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
7.01619,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
7.05084,0.59226,177.195,-0.429,-176.836,-0.07845,0.2343,0.59226,8,0.00438669,4.38669
7.08642,0.59313,177.166,-0.139,-176.836,-0.07854,0.23435,0.59313,8,0.00351669,3.51669
7.1154,0.59319,176.793,-0.087,-176.881,-0.0783,0.23427,0.59319,8,0.00345669,3.45669
7.15112,0.59194,177.455,-0.523,-176.871,-0.07852,0.23423,0.59194,8,0.00470669,4.70669
7.18336,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
7.21803,0.59194,177.455,-0.523,-176.871,-0.07852,0.23423,0.59194,8,0.00470669,4.70669
7.25255,0.59218,177.439,-0.135,-176.952,-0.07814,0.23414,0.59218,8,0.00446669,4.46669
7.28278,0.59298,177.254,-0.21,-176.908,-0.07834,0.23438,0.59298,8,0.00366669,3.66669
7.31826,0.59164,177.261,-0.609,-176.945,-0.07826,0.23414,0.59164,8,0.00500669,5.00669
7.35125,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
7.38667,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
7.41964,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
7.45054,0.59211,177.356,-0.326,-176.873,-0.07838,0.23435,0.59211,8,0.00453669,4.53669
7.48413,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
7.5182,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
7.55217,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
7.58438,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
7.61968,0.59199,177.287,-0.451,-177.048,-0.0781,0.23396,0.59199,8,0.00465669,4.65669
7.65234,0.59233,177.277,-0.24,-176.915,-0.07821,0.23409,0.59233,8,0.00431669,4.31669
7.68387,0.59305,176.953,0.019,-176.918,-0.07823,0.23432,0.59305,8,0.00359669,3.59669
7.72021,0.59299,177.327,-0.032,-176.872,-0.07847,0.23439,0.59299,8,0.00365669,3.65669
7.75051,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
7.7834,0.59236,177.431,-0.323,-176.851,-0.07858,0.23444,0.59236,8,0.00428669,4.28669
7.82017,0.59211,177.356,-0.326,-176.873,-0.07838,0.23435,0.59211,8,0.00453669,4.53669
7.85088,0.59257,176.9,-0.365,-176.858,-0.07841,0.23432,0.59257,8,0.00407669,4.07669
7.88369,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
7.91848,0.59281,177.336,0.152,-176.974,-0.07803,0.23409,0.59281,8,0.00383669,3.83669
7.95151,0.59226,177.195,-0.429,-176.836,-0.07845,0.2343,0.59226,8,0.00438669,4.38669
7.98858,0.5917,177.38,-0.526,-176.893,-0.07832,0.23414,0.5917,8,0.00494669,4.94669
8.02171,0.59179,177.616,-0.424,-176.908,-0.07845,0.23427,0.59179,8,0.00485669,4.85669
8.05075,0.59251,177.27,-0.425,-176.813,-0.07865,0.23439,0.59251,8,0.00413669,4.13669
8.08898,0.59165,177.586,-0.517,-177.027,-0.07813,0.23393,0.59165,8,0.00499669,4.99669
8.11863,0.59265,176.977,-0.178,-176.937,-0.07817,0.23411,0.59265,8,0.00399669,3.99669
8.1512,0.59274,177.253,-0.04,-176.896,-0.07827,0.2343,0.59274,8,0.00390669,3.90669
8.18726,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
8.22037,0.59288,177.091,-0.147,-176.859,-0.07834,0.23425,0.59288,8,0.00376669,3.76669
8.25044,0.59251,177.27,-0.425,-176.813,-0.07865,0.23439,0.59251,8,0.00413669,4.13669
8.28863,0.59203,177.085,-0.458,-176.914,-0.07828,0.23416,0.59203,8,0.00461669,4.61669
